"Date","Price","Open","High","Low","Vol.","Change %"
"04/11/2022","3,727.23","3,843.73","3,843.73","3,717.50","","-3.03%"
"04/08/2022","3,843.73","3,823.32","3,851.00","3,793.76","","0.53%"
"04/07/2022","3,823.32","3,873.51","3,885.78","3,819.63","","-1.30%"
"04/06/2022","3,873.51","3,888.55","3,888.55","3,849.31","","-0.39%"
"04/01/2022","3,888.55","3,841.63","3,902.88","3,811.83","","1.22%"
"03/31/2022","3,841.63","3,871.30","3,871.30","3,834.15","","-0.77%"
"03/30/2022","3,871.30","3,765.57","3,871.30","3,765.57","","2.81%"
"03/29/2022","3,765.57","3,780.64","3,806.11","3,756.97","","-0.40%"
"03/28/2022","3,780.64","3,801.00","3,803.44","3,728.04","","-0.54%"
"03/25/2022","3,801.00","3,872.81","3,876.68","3,800.77","","-1.85%"
"03/24/2022","3,872.81","3,896.67","3,896.67","3,841.26","","-0.61%"
"03/23/2022","3,896.67","3,877.87","3,906.93","3,865.99","","0.48%"
"03/22/2022","3,877.87","3,881.56","3,904.00","3,861.96","","-0.10%"
"03/21/2022","3,881.56","3,887.32","3,907.93","3,847.75","","-0.15%"
"03/18/2022","3,887.32","3,857.94","3,901.43","3,821.12","","0.76%"
"03/17/2022","3,857.94","3,782.54","3,916.43","3,782.54","","1.99%"
"03/16/2022","3,782.54","3,626.01","3,792.74","3,587.27","","4.32%"
"03/15/2022","3,626.01","3,803.09","3,803.09","3,626.01","","-4.66%"
"03/14/2022","3,803.09","3,924.21","3,924.21","3,803.09","","-3.09%"
"03/11/2022","3,924.21","3,914.17","3,932.12","3,808.85","","0.26%"
"03/10/2022","3,914.17","3,853.29","3,953.50","3,853.29","","1.58%"
"03/09/2022","3,853.29","3,887.65","3,925.15","3,710.27","","-0.88%"
"03/08/2022","3,887.65","3,966.15","3,994.50","3,875.77","","-1.98%"
"03/07/2022","3,966.15","4,096.55","4,096.55","3,952.21","","-3.18%"
"03/04/2022","4,096.55","4,146.56","4,146.56","4,083.12","","-1.21%"
"03/03/2022","4,146.56","4,174.48","4,194.56","4,140.27","","-0.67%"
"03/02/2022","4,174.48","4,211.10","4,211.10","4,156.00","","-0.87%"
"03/01/2022","4,211.10","4,176.90","4,214.71","4,176.90","","0.82%"
"02/28/2022","4,176.90","4,167.51","4,176.90","4,129.87","","0.23%"
"02/25/2022","4,167.51","4,125.87","4,202.50","4,125.87","","1.01%"
"02/24/2022","4,125.87","4,208.89","4,208.89","4,087.91","","-1.97%"
"02/23/2022","4,208.89","4,162.61","4,211.09","4,162.61","","1.11%"
"02/22/2022","4,162.61","4,213.19","4,213.19","4,136.59","","-1.20%"
"02/21/2022","4,213.19","4,229.33","4,229.33","4,194.30","","-0.38%"
"02/18/2022","4,229.33","4,209.27","4,229.33","4,180.85","","0.48%"
"02/17/2022","4,209.27","4,196.19","4,228.67","4,187.54","","0.31%"
"02/16/2022","4,196.19","4,179.10","4,218.26","4,179.10","","0.41%"
"02/15/2022","4,179.10","4,132.49","4,180.22","4,131.52","","1.13%"
"02/14/2022","4,132.49","4,177.73","4,177.73","4,112.96","","-1.08%"
"02/11/2022","4,177.73","4,214.85","4,233.93","4,172.87","","-0.88%"
"02/10/2022","4,214.85","4,225.73","4,227.51","4,187.56","","-0.26%"
"02/09/2022","4,225.73","4,183.46","4,232.17","4,172.03","","1.01%"
"02/08/2022","4,183.46","4,208.85","4,208.85","4,105.37","","-0.60%"
"02/07/2022","4,208.85","4,137.88","4,241.36","4,137.88","","1.72%"
"01/28/2022","4,137.88","4,191.32","4,227.74","4,134.67","","-1.28%"
"01/27/2022","4,191.32","4,277.21","4,277.21","4,188.48","","-2.01%"
"01/26/2022","4,277.21","4,245.89","4,283.32","4,219.88","","0.74%"
"01/25/2022","4,245.89","4,347.05","4,347.05","4,245.72","","-2.33%"
"01/24/2022","4,347.05","4,337.75","4,358.24","4,308.94","","0.21%"
"01/21/2022","4,337.75","4,376.82","4,376.82","4,323.85","","-0.89%"
"01/20/2022","4,376.82","4,339.86","4,396.14","4,337.67","","0.85%"
"01/19/2022","4,339.86","4,372.17","4,384.20","4,318.10","","-0.74%"
"01/18/2022","4,372.17","4,329.45","4,384.23","4,311.81","","0.99%"
"01/17/2022","4,329.45","4,293.40","4,337.50","4,293.40","","0.84%"
"01/14/2022","4,293.40","4,325.08","4,326.91","4,290.44","","-0.73%"
"01/13/2022","4,325.08","4,399.04","4,404.93","4,324.14","","-1.68%"
"01/12/2022","4,399.04","4,354.83","4,405.69","4,354.83","","1.02%"
"01/11/2022","4,354.83","4,398.48","4,403.91","4,349.58","","-0.99%"
"01/10/2022","4,398.48","4,381.37","4,399.60","4,341.20","","0.39%"
"01/07/2022","4,381.37","4,379.72","4,412.41","4,377.76","","0.04%"
"01/06/2022","4,379.72","4,421.04","4,421.04","4,349.55","","-0.93%"
"01/05/2022","4,421.04","4,465.78","4,465.78","4,406.61","","-1.00%"
"01/04/2022","4,465.78","4,490.79","4,508.22","4,427.62","","-0.56%"
"12/31/2021","4,490.79","4,473.14","4,499.05","4,473.14","","0.39%"
"12/30/2021","4,473.14","4,437.70","4,490.51","4,435.39","","0.80%"
"12/29/2021","4,437.70","4,509.77","4,509.77","4,437.70","","-1.60%"
